,Message,Favourite Count,Retweet Count,Created At,Source,Username
0,"Malnutrition is the single greatest health inequity in the world. In its 2019 State of the World’s Children report,… https://t.co/G8Cm5kgeGX",5424,1179,2019-10-21 11:53:00,Sprinklr,Bill Gates
1,The world’s poorest people often rely on farming both to feed their families and to earn an income. They will be am… https://t.co/fZJCCR6Bhc,7700,1627,2019-10-20 23:10:00,Twitter Media Studio,Bill Gates
2,"Congrats to Esther Duflo, Abhijit Banerjee, and Michael Kremer for winning this year’s @NobelPrize in economics. I’… https://t.co/CF8prB94QM",6156,941,2019-10-19 17:05:00,Sprinklr,Bill Gates
3,"The world is facing a crisis at the dinner table, one that climate change will only worsen. I’m optimistic about th… https://t.co/HToIC1QgCa",4651,724,2019-10-18 20:00:00,Sprinklr,Bill Gates
4,The odds of dying of AIDS in South Africa are less than half what they were at the peak. That progress wouldn’t hav… https://t.co/XLVdgygAa5,3915,589,2019-10-15 19:58:30,Sprinklr,Bill Gates
5,We need more approaches to stopping #Alzheimers disease. I’m excited to see this news out of @DZNE_de and… https://t.co/fn4C8Kl8L2,7023,1176,2019-10-12 19:14:19,Sprinklr,Bill Gates
6,I’m impressed by the international cooperation that made this year’s @GlobalFund Replenishment round possible. The… https://t.co/LUoafmyCbc,4259,542,2019-10-11 20:00:00,Sprinklr,Bill Gates
7,I can’t think of a more fitting tribute to Hans Rosling and his life’s work. Hans was a dear friend to Melinda and… https://t.co/JTnyGS5Z8A,3996,425,2019-10-11 18:00:40,Sprinklr,Bill Gates
8,"I’m in Lyon, France for the @GlobalFund’s replenishment – celebrating the most money ever raised for their life-sav… https://t.co/d0Md6l05i0",4863,587,2019-10-10 17:04:48,Twitter Web App,Bill Gates
9,"In Afghanistan, one of the last countries with polio, vaccine acceptance rates have reached 98% thanks to the tirel… https://t.co/OcaTByMNM6",7527,1063,2019-10-09 20:09:03,Sprinklr,Bill Gates
10,"If all countries in the world had the same concentration of researchers as wealthy ones, there would be 3x as many… https://t.co/zxBRlgRSlR",8789,2186,2019-10-09 14:45:36,Sprinklr,Bill Gates
