User1,User2,Text
Positive,Positive,Congratulations @NarendraModi on a remarkable win in #IndianElections2019. Your continued commitment to improve hea… https://t.co/5ylNvZXOpn
Positive,Positive,Thank you Dan and Kevin. Great Vote! https://t.co/MMJ5SanakG
Neutral,Positive,My friendship with Paul Allen changed my life. I loved sharing some of my favorite stories about him (and a few old… https://t.co/BvQIBm38iB
Neutral,Positive,"RT @realDonaldTrump: 95% Approval Rating in the Republican Party. Thank you! Just won two Congressional Seats in North Carolina,  & a Gover…"
Neutral,Positive,RT @DonaldJTrumpJr: Ahhhh good times. Happy third anniversary to one of the great comebacks of all time. https://t.co/KbSos1UApS
Positive,Positive,Diversity is good for innovation. This is a great conversation between @robotsmarts and @timnitGebru on the importa… https://t.co/QaNcykjxJ1
Neutral,Positive,Congratulations to the first round of award recipients from @TheADDF’s Diagnostics Accelerator. Your ideas are gett… https://t.co/nAUWkUUpd5
Neutral,Positive,The fight against malaria is one of the greatest success stories in global health — but progress has slowed in rece… https://t.co/BMtUZu6QTn
Negative,Positive,"RT @GOPChairwoman: We've seen a huge spike in enthusiasm since Democrats
 like Elissa Slotkin and Haley Stevens backed Pelosi's bogus impeac…"
Negative,Positive,"If you enjoyed the @Avengers this weekend, I think you’ll be inspired by these real-life heroes:… https://t.co/UISSYrSC1a"
Neutral,Positive,I’m thrilled that senators from both sides of the aisle have come together to support advanced nuclear. This is exa… https://t.co/M8aBLF6AXw
Neutral,Positive,"....He is also my friend! At the same time, I am pleased to nominate Deputy Secretary Dan Brouillette to be the new… https://t.co/Pcc3G5sxtR"
Neutral,Positive,"In Afghanistan, one of the last countries with polio, vaccine acceptance rates have reached 98% thanks to the tirel… https://t.co/OcaTByMNM6"
Neutral,Neutral,Our foundation’s Day of Caring is one of my dad’s favorite days of the year. I know he can’t wait to hear what our… https://t.co/s81X5MgeAD
Neutral,Positive,It’s great to see leaders in Washington talking about accelerating energy innovation to fight climate change. This… https://t.co/U2LBZe73Rm
Neutral,Neutral,"Hope all House Republicans, and honest House Democrats, will vote to CENSURE Rep. Adam Schiff tomorrow for his braz… https://t.co/UTBkc10nhf"
Neutral,Positive,"Senator Rand Paul just wrote a great book, “The Case Against Socialism” which is now out. Highly recommended – as A… https://t.co/GblFOclQdM"
Negative,Neutral,"As governments invest more in primary health care systems, overall health outcomes improve. Here’s how:… https://t.co/PAQuourGXa"
Neutral,Neutral,"On #EarthDay, I’m inspired by the inventors who are tackling climate change and all the people who are supporting t… https://t.co/bw0imff81U"
Neutral,Positive,I’ve learned so much from Melinda over the years and I’m delighted she is now sharing her insights with the rest of… https://t.co/LwZ6b7ZUQT
Negative,Negative,"Just another FAKE SUPPRESSION POLL, this time from @FoxNews, of course! https://t.co/x8lYVE7QCo"
Negative,Negative,RT @realDonaldTrump: FAKE NEWS! https://t.co/ta8ii8yetP
Negative,Negative,FAKE NEWS! https://t.co/ta8ii8yetP
Neutral,Negative,RT @SaraCarterDC: Democrat anger has grown so irrational that it has burst through the constitutional guardrails which protect our institut…
Neutral,Negative,"Here’s one reason why I really, really hate mosquitoes: https://t.co/DDG0kG692T #MosquitoWeek https://t.co/7qTfCLDKmu"
Neutral,Negative,RT @SteveScalise: Adam Schiff must be held accountable for his lies.  Tonight Republicans will move to censure & condemn him for deliberate…
Negative,Neutral,"RT @realDonaldTrump: “About 500,000 human beings were killed in Syria while Barack Obama was president & leading for a “political settlemen…"
Negative,Negative,"RT @realDonaldTrump: Years of BAD GOVERNMENT, such a sorry thing to see! https://t.co/H1r2Be2YS6
Years of BAD GOVERNMENT, such a sorry thing to see! https://t.co/H1r2Be2YS6"
